_date,total_clones,unique_clones
2021-02-01,4,4
2021-02-02,1,1
2021-02-03,1,1
2021-02-04,2,2
2021-02-05,5,4
2021-02-06,6,3
2021-02-07,5,3
2021-02-08,5,4
2021-02-09,1,1
2021-02-10,2,2
2021-02-11,2,2
2021-02-12,4,2
2021-02-13,1,1
2021-02-14,1,1
